GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
116938	0.145	0.0002351	0.2433	3.677925	0.8947806	10.07	SNORD83B	small nucleolar RNA, C/D box 83B
101929452	0.148	0.0002686	0.2306	3.643831	0.8402602	20.26	LOC101929452	uncharacterized LOC101929452
113201	0.148	0.0002639	0.0935	-3.648375	-0.3409724	6155.51	GOLM2	golgi membrane protein 2
1991	0.148	0.0002554	0.5503	3.656832	2.012192	55.23	ELANE	elastase, neutrophil expressed
105376514	0.148	0.000276	0.203	3.636813	0.7381742	22.44	LOC105376514	
57413	0.155	0.0003575	0.3819	3.569614	1.3633481	57.27	TMIGD3	transmembrane and immunoglobulin domain containing 3
103021295	0.155	0.0004465	0.0836	-3.510932	-0.2936019	134.88	LOC103021295	uncharacterized LOC103021295
403150	0.155	0.0003991	0.2298	3.540668	0.8136499	8.24	FOSL2-AS1	FOSL2 antisense RNA 1
3269	0.155	0.0004388	0.2804	-3.515584	-0.9858462	12.36	HRH1	histamine receptor H1
107986079	0.155	0.0003162	0.1801	3.601622	0.6487909	29.68	LOC107986079	uncharacterized LOC107986079
56650	0.155	0.0004489	0.0748	-3.509502	-0.2626567	2497.42	CLDND1	claudin domain containing 1
113218502	0.155	0.0002966	0.1466	3.618295	0.5304447	125.44	MIR10397	microRNA 10397
401258	0.155	0.0004062	0.2589	3.536016	0.9153886	356.27	RAB44	RAB44, member RAS oncogene family
286319	0.155	0.0004074	0.1655	-3.535227	-0.5852044	21.58	TUSC1	tumor suppressor candidate 1
105376272	0.155	0.0004238	0.2035	3.524795	0.7171267	16.33	LOC105376272	uncharacterized LOC105376272
3992	0.155	0.0003897	0.1241	-3.546979	-0.4402028	507.31	FADS1	fatty acid desaturase 1
1511	0.155	0.0003438	0.5382	3.579854	1.9267958	104.45	CTSG	cathepsin G
55329	0.155	0.0004506	0.1794	-3.508544	-0.629268	28.87	MNS1	meiosis specific nuclear structural 1
107984895	0.155	0.0004546	0.2813	3.506196	0.9861996	16.17	LOC107984895	
105371414	0.155	0.0003083	0.2193	3.608198	0.7912886	92.26	LOC105371414	uncharacterized LOC105371414
84690	0.155	0.0003487	0.3883	-3.576146	-1.3886972	8.97	SPATA22	spermatogenesis associated 22
645832	0.155	0.000414	0.224	3.530993	0.7909561	10.89	SEBOX	SEBOX homeobox
4680	0.155	0.0004484	0.4739	3.50983	1.6632377	127.03	CEACAM6	CEA cell adhesion molecule 6
114823	0.155	0.0004192	0.2283	3.527666	0.8052196	1014.54	LENG8	leukocyte receptor cluster member 8
63925	0.155	0.0003584	0.1306	3.568964	0.4661364	606.25	ZNF335	zinc finger protein 335
284739	0.155	0.0004593	0.2513	3.503439	0.8803982	36.4	C20orf204	chromosome 20 open reading frame 204
5638	0.155	0.0003817	0.2574	-3.552429	-0.9143431	16.03	PRRG1	proline rich and Gla domain 1
340526	0.155	0.0003298	0.2218	3.590677	0.7963762	144.57	RTL5	retrotransposon Gag like 5
102465909	0.156	0.0004705	0.2129	3.497013	0.7446592	8.49	MIR6859-2	microRNA 6859-2
222643	0.159	0.0004848	0.0926	3.489005	0.3231058	63.31	UNC5CL	unc-5 family C-terminal like
57657	0.162	0.0005444	0.1993	3.457893	0.6891805	12.37	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3
60682	0.162	0.0005181	0.0496	-3.471239	-0.1723141	952.83	SMAP1	small ArfGAP 1
107986533	0.162	0.0005567	0.7251	3.45189	2.5028918	6.29	LINC02531	long intergenic non-protein coding RNA 2531
10077	0.162	0.0005334	0.1047	3.463422	0.3624778	930.29	TSPAN32	tetraspanin 32
53905	0.162	0.0005388	0.1949	3.460675	0.6743568	56.46	DUOX1	dual oxidase 1
4353	0.162	0.0005483	0.4526	3.455963	1.5641079	302.3	MPO	myeloperoxidase
107983991	0.162	0.0005501	0.3703	3.45508	1.2792811	8.96	LOC107983991	replaced by ID 105372267
107985322	0.162	0.0005056	0.3579	3.477771	1.2447707	11.67	LOC107985322	
107987158	0.167	0.0005819	0.2595	3.439933	0.89265	62.78	LOC107987158	
11318	0.169	0.0006129	0.2411	3.425853	0.8258952	15.63	GPR182	G protein-coupled receptor 182
246	0.169	0.0005981	0.4865	3.432454	1.6697825	339.77	ALOX15	arachidonate 15-lipoxygenase
692227	0.169	0.0006089	0.2441	3.427601	0.836712	23.31	SNORD104	small nucleolar RNA, C/D box 104
51127	0.17	0.0006519	0.1547	3.409037	0.527314	78.34	TRIM17	tripartite motif containing 17
275	0.17	0.0006807	0.1212	3.397228	0.4116141	118.15	AMT	aminomethyltransferase
55069	0.17	0.0006762	0.0634	-3.39905	-0.2156427	5336.28	TMEM248	transmembrane protein 248
29990	0.17	0.0006518	0.0978	3.409091	0.3332799	468.4	PILRB	paired immunoglobin like type 2 receptor beta
157697	0.17	0.0006792	0.1258	3.397848	0.4276073	2145.24	ERICH1	glutamate rich 1
101805488	0.17	0.0006348	0.3063	3.416276	1.0462552	18.8	CCAT2	colon cancer associated transcript 2
57214	0.17	0.0006727	0.1593	3.400456	0.5416599	87.07	CEMIP	cell migration inducing hyaluronidase 1
102464831	0.17	0.0006249	0.1996	3.420588	0.6828472	14.44	MIR6080	microRNA 6080
107985393	0.171	0.0006949	0.2202	3.391577	0.7467664	15.18	LOC107985393	
100289137	0.173	0.0007107	0.2705	3.385409	0.9157991	19.54	FAM95C	family with sequence similarity 95 member C
113451	0.175	0.0008724	0.1122	3.328728	0.3735461	84.99	AZIN2	antizyme inhibitor 2
91408	0.175	0.0009088	0.0892	-3.317325	-0.2959759	1662.14	BTF3L4	basic transcription factor 3 like 4
8915	0.175	0.000971	0.0832	-3.29881	-0.2745424	1637.99	BCL10	BCL10 immune signaling adaptor
9173	0.175	0.0008034	0.369	3.351625	1.2368126	441.11	IL1RL1	interleukin 1 receptor like 1
29842	0.175	0.0009672	0.3425	3.299886	1.130349	41.54	TFCP2L1	transcription factor CP2 like 1
348807	0.175	0.0007819	0.2765	3.359119	0.9287491	12.72	CFAP100	cilia and flagella associated protein 100
107986383	0.175	0.000915	0.1374	-3.315422	-0.4554246	14.76	LOC107986383	uncharacterized LOC107986383
10622	0.175	0.0008784	0.1608	-3.326825	-0.5350982	252.2	POLR3G	RNA polymerase III subunit G
408263	0.175	0.0008669	0.1745	3.330494	0.5812961	155.91	FNDC9	fibronectin type III domain containing 9
79969	0.175	0.0009588	0.1692	3.302335	0.5588662	35.48	ATAT1	alpha tubulin acetyltransferase 1
105377936	0.175	0.0010005	0.2579	-3.290396	-0.8487092	6.83	LOC105377936	uncharacterized LOC105377936
3624	0.175	0.0008529	0.4338	3.335036	1.4466902	29.01	INHBA	inhibin subunit beta A
858	0.175	0.0007943	0.248	-3.354787	-0.8318655	97.66	CAV2	caveolin 2
1668	0.175	0.0009889	0.5485	3.293658	1.8065876	3404.75	DEFA3	defensin alpha 3
90362	0.175	0.0009533	0.2113	3.303944	0.6982237	33.29	FAM110B	family with sequence similarity 110 member B
727677	0.175	0.0008184	0.3374	3.346493	1.1292336	35.34	CASC8	cancer susceptibility 8
100499484	0.175	0.0008907	0.1182	3.322951	0.3929282	125.35	SUGT1P4-STRA6LP	SUGT1P4-STRA6LP readthrough
103344931	0.175	0.000833	0.1092	3.34159	0.3647614	257.84	LOC103344931	uncharacterized LOC103344931
6094	0.175	0.0008013	0.1286	3.35233	0.4312584	29.69	ROM1	retinal outer segment membrane protein 1
105369535	0.175	0.0009387	0.2339	3.308279	0.7737558	502.48	LOC105369535	uncharacterized LOC105369535
79370	0.175	0.0008051	0.29	-3.351051	-0.971927	12.2	BCL2L14	BCL2 like 14
105369761	0.175	0.0009849	0.3155	3.294816	1.0396335	7.97	LOC105369761	uncharacterized LOC105369761
114785	0.175	0.0007944	0.2886	3.354746	0.9682888	246.72	MBD6	methyl-CpG binding domain protein 6
347918	0.175	0.0010113	0.1596	3.287367	0.5246985	33.95	EP400P1	EP400 pseudogene 1
102723708	0.175	0.0009046	0.2618	3.318639	0.8689032	20.52	LOC102723708	uncharacterized LOC102723708
6844	0.175	0.0008666	0.2387	3.330594	0.7949659	233.34	VAMP2	vesicle associated membrane protein 2
107985071	0.175	0.0008186	0.2475	3.346436	0.8281352	8.38	LOC107985071	uncharacterized LOC107985071
105371849	0.175	0.0008581	0.2909	3.33333	0.9697323	16.23	HEATR6-DT	HEATR6 divergent transcript
1000	0.175	0.0010125	0.249	-3.287041	-0.818621	52.34	CDH2	cadherin 2
641367	0.175	0.0007866	0.2143	3.357456	0.719441	39.34	CCNYL6	cyclin Y like 6 (pseudogene)
57644	0.175	0.0008808	0.1516	3.326073	0.5040898	117.11	MYH7B	myosin heavy chain 7B
10893	0.175	0.0009125	0.2035	3.316213	0.6747407	126.16	MMP24	matrix metallopeptidase 24
80336	0.175	0.0009749	0.2439	3.297669	0.8043584	130.97	PABPC1L	poly(A) binding protein cytoplasmic 1 like
440823	0.175	0.0010002	0.1907	3.290473	0.6276061	1613.09	MIAT	myocardial infarction associated transcript
10800	0.175	0.0009007	0.1025	-3.319846	-0.3402504	1918.03	CYSLTR1	cysteinyl leukotriene receptor 1
105378490	0.178	0.0010469	0.2856	3.277608	0.9362478	15.59	LOC105378490	uncharacterized LOC105378490
110091776	0.178	0.0010466	0.4187	3.277681	1.3724463	60.43	LOC110091776	ankyrin repeat domain 18B pseudogene
100287898	0.179	0.0011915	0.3438	3.240901	1.1143228	15.34	TTC34	tetratricopeptide repeat domain 34
105376878	0.179	0.0011521	0.2015	3.250478	0.6550856	102.51	RUNX3-AS1	RUNX3 antisense RNA 1
8289	0.179	0.0011712	0.2218	3.245804	0.7198107	1480.79	ARID1A	AT-rich interaction domain 1A
127550	0.179	0.0011303	0.332	3.2559	1.080908	9.16	A3GALT2	alpha 1,3-galactosyltransferase 2
200014	0.179	0.0014322	0.0822	3.188086	0.262047	976.83	CC2D1B	coiled-coil and C2 domain containing 1B
105378726	0.179	0.0011241	0.2083	3.257468	0.6785142	40.05	LOC105378726	uncharacterized LOC105378726
26027	0.179	0.0011928	0.2892	3.2406	0.9373139	53.35	ACOT11	acyl-CoA thioesterase 11
391123	0.179	0.0013323	0.1862	3.20892	0.5976065	17.89	VSIG8	V-set and immunoglobulin domain containing 8
400999	0.179	0.0012648	0.1765	3.22384	0.5690049	27.79	SLC20A1-DT	SLC20A1 divergent transcript
4134	0.179	0.0012862	0.159	3.219032	0.5117667	1002.98	MAP4	microtubule associated protein 4
107986086	0.179	0.0014438	0.1345	3.185752	0.4283717	28.92	LOC107986086	uncharacterized LOC107986086
55751	0.179	0.0011633	0.0729	-3.247721	-0.2366635	2168.01	TMEM184C	transmembrane protein 184C
105377743	0.179	0.0012401	0.2825	3.229502	0.9123116	258.61	LOC105377743	uncharacterized LOC105377743
26797	0.179	0.0011684	0.2498	3.246492	0.810829	12.52	SNORD52	small nucleolar RNA, C/D box 52
2030	0.179	0.0014261	0.3347	3.189323	1.0674034	137.28	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)
730152	0.179	0.0012212	0.835	3.233881	2.7002913	11.92	GSTA7P	glutathione S-transferase alpha 7, pseudogene
5325	0.179	0.0014206	0.1755	3.190424	0.5598921	258.54	PLAGL1	PLAG1 like zinc finger 1
105378061	0.179	0.0011253	0.5138	3.257175	1.6736098	18.32	LOC105378061	uncharacterized LOC105378061
857	0.179	0.001125	0.1882	-3.257238	-0.6129722	17.45	CAV1	caveolin 1
407021	0.179	0.0010799	0.2995	3.268851	0.9790087	12.04	MIR29A	microRNA 29a
107986981	0.179	0.0013138	0.2214	3.212943	0.711386	93.83	LOC107986981	uncharacterized LOC107986981
1308	0.179	0.0013446	0.2823	3.206289	0.9050674	75.76	COL17A1	collagen type XVII alpha 1 chain
107984276	0.179	0.0014006	0.3387	3.194529	1.0819023	11.52	LOC107984276	
101927983	0.179	0.0013555	0.0697	3.203958	0.2232358	74.42	EDRF1-AS1	EDRF1 antisense RNA 1
503542	0.179	0.0011513	0.1153	3.25068	0.3747132	62.65	SPRN	shadow of prion protein
29125	0.179	0.0013897	0.0786	3.196775	0.2511071	2507.43	C11orf21	chromosome 11 open reading frame 21
80829	0.179	0.0012276	0.0624	-3.232393	-0.2015575	3517.87	ZFP91	ZFP91 zinc finger protein, atypical E3 ubiquitin ligase
107984482	0.179	0.0012546	0.2652	3.226173	0.8554371	9.39	LOC107984482	uncharacterized LOC107984482
729665	0.179	0.0013056	0.1737	-3.21475	-0.55852	102.21	CCDC175	coiled-coil domain containing 175
100137049	0.179	0.0012328	0.1432	3.23118	0.4627958	128.48	PLA2G4B	phospholipase A2 group IVB
60677	0.179	0.0012456	0.1204	3.228228	0.3885617	49.28	CELF6	CUGBP Elav-like family member 6
9899	0.179	0.0012674	0.3386	-3.223261	-1.0913454	11.86	SV2B	synaptic vesicle glycoprotein 2B
55512	0.179	0.0013364	0.3032	3.208048	0.972769	423.23	SMPD3	sphingomyelin phosphodiesterase 3
102465840	0.179	0.0013899	0.3989	3.196749	1.2751169	6.61	MIR7854	microRNA 7854
7326	0.179	0.0014374	0.0539	-3.187037	-0.1717792	2264.27	UBE2G1	ubiquitin conjugating enzyme E2 G1
9196	0.179	0.0014155	0.1952	3.191472	0.6229451	31.07	KCNAB3	potassium voltage-gated channel subfamily A regulatory beta subunit 3
102724862	0.179	0.0012625	0.1817	3.224369	0.5858994	92.78	TBC1D3I	TBC1 domain family member 3I
80279	0.179	0.0013513	0.0802	3.204855	0.2571697	3303.71	CDK5RAP3	CDK5 regulatory subunit associated protein 3
1101	0.179	0.0011745	0.2706	3.245003	0.8780399	18.62	CHAD	chondroadherin
102723798	0.179	0.0013975	0.2863	3.195172	0.9146695	56.76	LOC102723798	uncharacterized LOC102723798
148022	0.179	0.0011801	0.3085	3.243642	1.0006848	36.13	TICAM1	TIR domain containing adaptor molecule 1
147650	0.179	0.0011539	0.195	3.250027	0.6338003	97.27	SPACA6	sperm acrosome associated 6
692086	0.179	0.0012267	0.1741	3.232599	0.5629008	1515.82	SNORD17	small nucleolar RNA, C/D box 17
101410538	0.179	0.0014291	0.195	3.188716	0.6217984	90.98	MMP24OS	MMP24 opposite strand
23523	0.179	0.0013275	0.1396	3.209972	0.4479522	1459.42	CABIN1	calcineurin binding protein 1
100302237	0.179	0.0014442	0.2082	3.185666	0.6632235	28.9	MIR1281	microRNA 1281
200010	0.182	0.0015656	0.2601	3.162232	0.8225818	62.7	SLC5A9	solute carrier family 5 member 9
64708	0.182	0.0015536	0.1012	3.164472	0.3202952	274.55	COPS7B	COP9 signalosome subunit 7B
54872	0.182	0.0015696	0.0761	3.161502	0.2405113	1382.07	PIGG	phosphatidylinositol glycan anchor biosynthesis class G
105377923	0.182	0.0015549	0.4777	3.164238	1.5115773	15.74	LOC105377923	uncharacterized LOC105377923
105376269	0.182	0.001622	0.2876	3.151917	0.9064681	13.04	LOC105376269	
105376387	0.182	0.0015187	0.3607	3.171091	1.1436786	11.53	LOC105376387	uncharacterized LOC105376387
3679	0.182	0.0016055	0.2109	3.1549	0.6653261	25.38	ITGA7	integrin subunit alpha 7
2200	0.182	0.001571	0.2907	3.161237	0.9190594	102.58	FBN1	fibrillin 1
5371	0.182	0.0016112	0.2115	3.153869	0.6670632	226.04	PML	PML nuclear body scaffold
4335	0.182	0.001577	0.176	3.160125	0.556333	337.25	MNT	MAX network transcriptional repressor
23125	0.182	0.0014781	0.1577	3.178947	0.5013956	183.47	CAMTA2	calmodulin binding transcription activator 2
107984993	0.182	0.0014884	0.2028	3.176945	0.6443501	106.74	LOC107984993	uncharacterized LOC107984993
107987261	0.182	0.0016053	0.2332	3.154941	0.7357257	382.18	LOC107987261	
2015	0.182	0.0015867	0.1797	3.158334	0.5676301	2320.84	ADGRE1	adhesion G protein-coupled receptor E1
90589	0.182	0.0015647	0.1232	-3.162416	-0.3896922	88.14	ZNF625	zinc finger protein 625
9757	0.182	0.0015565	0.2619	3.163931	0.8285263	507.78	KMT2B	lysine methyltransferase 2B
101927345	0.182	0.0016149	0.3956	3.153207	1.247474	32.33	LOC101927345	putative ankyrin repeat domain-containing protein 20A12
91316	0.182	0.0015224	0.1189	3.170385	0.376956	706.72	GUSBP11	GUSB pseudogene 11
81629	0.182	0.0016514	0.1257	3.146668	0.3955427	126.56	TSSK3	testis specific serine kinase 3
107985798	0.182	0.0016542	0.163	3.146168	0.5128964	30.9	KMT2CP5	lysine methyltransferase 2C pseudogene 5
140700	0.182	0.0016482	0.1879	3.147239	0.5913343	42.41	SAMD10	sterile alpha motif domain containing 10
84793	0.182	0.0017062	0.2768	3.137105	0.8684513	15.5	FOXD2-AS1	FOXD2 adjacent opposite strand RNA 1
1435	0.182	0.0019572	0.2679	3.09665	0.8295695	102.27	CSF1	colony stimulating factor 1
100189003	0.182	0.0019207	0.3833	3.102231	1.1889789	11.69	TRL-CAA6-1	tRNA-Leu (anticodon CAA) 6-1
51738	0.182	0.0016894	0.1364	3.14001	0.4284488	141.67	GHRL	ghrelin and obestatin prepropeptide
132241	0.182	0.0019689	0.0712	3.09489	0.2204658	281.09	RPL32P3	ribosomal protein L32 pseudogene 3
653082	0.182	0.0018595	0.2139	3.111805	0.6654639	57.26	ZDHHC11B	zinc finger DHHC-type containing 11B
22838	0.182	0.0019289	0.1875	3.100966	0.5813632	689.2	RNF44	ring finger protein 44
54540	0.182	0.0018363	0.1622	3.115503	0.5052182	586.32	FAM193B	family with sequence similarity 193 member B
107986513	0.182	0.0016707	0.1996	3.143266	0.6273552	114.54	LOC107986513	
135152	0.182	0.0017333	0.0486	-3.132496	-0.152204	606.24	B3GAT2	beta-1,3-glucuronyltransferase 2
5550	0.182	0.0018876	0.097	3.107377	0.3014297	941.77	PREP	prolyl endopeptidase
2852	0.182	0.0018048	0.2503	3.120602	0.781161	18.39	GPER1	G protein-coupled estrogen receptor 1
28627	0.182	0.0019587	0.2294	3.096429	0.7102857	30.51	TRBJ2-2P	T cell receptor beta joining 2-2P (non-functional)
23452	0.182	0.0017193	0.1984	3.134871	0.6218313	68.18	ANGPTL2	angiopoietin like 2
84795	0.182	0.001963	0.1229	3.095775	0.3804361	316	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2
256364	0.182	0.0018653	0.1113	3.110882	0.3463533	803.62	EML3	EMAP like 3
440072	0.182	0.0018989	0.1362	3.105599	0.4231056	25.11	PRDM10-DT	PRDM10 divergent transcript
105369634	0.182	0.0018249	0.2413	3.117349	0.7521262	18.1	LOC105369634	uncharacterized LOC105369634
79890	0.182	0.0018469	0.2192	3.113815	0.6824996	750.8	RIN3	Ras and Rab interactor 3
105376707	0.182	0.0019247	0.1735	3.101608	0.5381462	546.43	LOC105376707	
25970	0.182	0.0017496	0.1451	3.129746	0.4540549	318.97	SH2B1	SH2B adaptor protein 1
105371159	0.182	0.001825	0.2492	3.117326	0.7769823	37.13	LOC105371159	uncharacterized LOC105371159
118460	0.182	0.0018154	0.1146	-3.118884	-0.3575122	1295.52	EXOSC6	exosome component 6
100129617	0.182	0.0017717	0.2628	3.126052	0.8215238	39.09	LOC100129617	uncharacterized LOC100129617
6458	0.182	0.0018843	0.2662	3.10789	0.8274433	15.17	SH3GL1P1	SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 1
84218	0.182	0.0017495	0.184	3.12976	0.57587	30.79	TBC1D3F	TBC1 domain family member 3F
80347	0.182	0.0019572	0.1461	3.096653	0.4525677	303.78	COASY	Coenzyme A synthase
101928855	0.182	0.0018044	0.2415	3.120666	0.7537939	16.98	LOC101928855	uncharacterized LOC101928855
66002	0.182	0.0019513	0.2773	3.097546	0.8589281	148.07	CYP4F12	cytochrome P450 family 4 subfamily F member 12
90324	0.182	0.001827	0.1656	3.117005	0.5160664	317.53	CCDC97	coiled-coil domain containing 97
28823	0.182	0.0018535	0.3402	-3.112757	-1.0588928	90.07	IGLV1-44	immunoglobulin lambda variable 1-44
26088	0.182	0.0017327	0.0991	3.132598	0.3103203	848.26	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
79983	0.182	0.0017624	0.229	-3.127601	-0.7160931	34.21	POF1B	POF1B actin binding protein
101928969	0.182	0.0017546	0.2658	3.128904	0.831599	9.26	RHOXF1-AS1	RHOXF1 antisense RNA 1
26576	0.182	0.0017827	0.1906	3.124226	0.5954939	42.21	SRPK3	SRSF protein kinase 3
105373386	0.182	0.0017153	0.2329	3.135554	0.7303163	48.07	LOC105373386	uncharacterized LOC105373386
9909	0.184	0.0019982	0.1434	3.090498	0.44306	1557.87	DENND4B	DENN domain containing 4B
162387	0.184	0.0020165	0.282	3.087789	0.870735	37.02	MFSD6L	major facilitator superfamily domain containing 6 like
440519	0.184	0.0020125	0.1071	-3.088385	-0.3307651	258.17	ZNF724	zinc finger protein 724
165545	0.184	0.0020593	0.2737	3.081547	0.8434644	6.26	DQX1	DEAQ-box RNA dependent ATPase 1
7536	0.184	0.0020514	0.1499	3.082695	0.4619525	2552.09	SF1	splicing factor 1
23201	0.184	0.0020669	0.1119	3.080445	0.3448193	2928.69	FAM168A	family with sequence similarity 168 member A
11273	0.184	0.0020519	0.2185	3.082616	0.6737057	527.54	ATXN2L	ataxin 2 like
4621	0.184	0.0020573	0.1132	3.08183	0.3489858	133.65	MYH3	myosin heavy chain 3
63035	0.184	0.0020708	0.2264	3.079879	0.69731	172.76	BCORL1	BCL6 corepressor like 1
4588	0.185	0.0020873	0.2318	3.077525	0.7134776	13.02	MUC6	mucin 6, oligomeric mucus/gel-forming
100131434	0.185	0.0020969	0.1174	3.076148	0.3611769	156.24	EOLA1-DT	EOLA1 divergent transcript
57710	0.185	0.002106	0.1921	3.074857	0.5906809	33.18	KIAA1614	KIAA1614
285847	0.185	0.002135	0.3648	3.070785	1.1203411	15.73	LOC285847	uncharacterized LOC285847
107985040	0.185	0.0021311	0.2143	3.071325	0.6581084	421.48	FMNL1-AS1	FMNL1 antisense RNA 1
107985162	0.185	0.002121	0.2466	3.072744	0.7577541	27.78	LOC107985162	uncharacterized LOC107985162
105371228	0.186	0.002149	0.1655	3.06883	0.5080115	29.67	LINC02804	long intergenic non-protein coding RNA 2804
348645	0.186	0.002157	0.1516	3.067715	0.4650904	624.13	MIR3667HG	MIR3667 host gene
149069	0.186	0.0022103	0.1706	3.060409	0.5221872	55.86	DCDC2B	doublecortin domain containing 2B
100129405	0.186	0.0022591	0.0696	3.053866	0.2124078	335.9	MSTO2P	misato family member 2, pseudogene
3631	0.186	0.0021998	0.0592	3.06184	0.1813917	6710.35	INPP4A	inositol polyphosphate-4-phosphatase type I A
9901	0.186	0.0022506	0.1838	3.055007	0.5615215	147.79	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
57556	0.186	0.0022273	0.1171	3.058115	0.3579654	116.87	SEMA6A	semaphorin 6A
10902	0.186	0.0023046	0.0778	3.047878	0.2372297	767.14	BRD8	bromodomain containing 8
112267951	0.186	0.0023031	0.1212	3.048082	0.3695135	112.04	LOC112267951	
5569	0.186	0.0023553	0.1493	-3.041335	-0.4542228	811.72	PKIA	cAMP-dependent protein kinase inhibitor alpha
102723678	0.186	0.0022984	0.2686	3.048688	0.8189354	7.56	LOC102723678	uncharacterized LOC102723678
401561	0.186	0.0022775	0.2509	3.05144	0.7657298	17.06	LINC01451	long intergenic non-protein coding RNA 1451
100289341	0.186	0.0023389	0.2202	3.04344	0.6700843	10.19	MAN1B1-DT	MAN1B1 divergent transcript
30008	0.186	0.0021804	0.1445	3.064491	0.4427575	70.97	EFEMP2	EGF containing fibulin extracellular matrix protein 2
9498	0.186	0.0023104	0.1362	3.04713	0.4149104	335.71	SLC4A8	solute carrier family 4 member 8
105370047	0.186	0.0023358	0.1718	3.043841	0.5227999	24.48	LOC105370047	uncharacterized LOC105370047
10001	0.186	0.0023355	0.0708	-3.043873	-0.215587	1140.11	MED6	mediator complex subunit 6
317762	0.186	0.0023254	0.1178	3.045182	0.3586119	549.31	CCDC85C	coiled-coil domain containing 85C
5330	0.186	0.0022776	0.1359	3.051416	0.4145427	4118.5	PLCB2	phospholipase C beta 2
