GeneID	padj	pvalue	lfcSE	log2FoldChange	Symbol	EnsemblGeneID
10396	0.10191234	2.88e-04	0.3111	-1.1277938	ATP8A1	ENSG00000124406
2348	0.10463322	3.04e-04	0.3032	-1.0951636	FOLR1	ENSG00000110195
26579	0.12285472	3.65e-04	0.6109	2.1774636	MYEOV	ENSG00000172927
101930085	0.12399904	3.77e-04	0.1346	-0.4785615	HERPUD2-AS1	ENSG00000271122
79644	0.12908997	4.11e-04	0.2005	0.7083554	SRD5A3	ENSG00000128039
9227	0.12908997	4.13e-04	0.2712	-0.9577765	LRAT	ENSG00000121207
4318	0.12908997	4.18e-04	0.3048	1.0753607	MMP9	ENSG00000100985
10630	0.13037361	4.40e-04	0.2945	1.0351228	PDPN	ENSG00000162493
360132	0.13037361	4.32e-04	0.2339	0.8231048	FKBP9P1	ENSG00000291029
150094	0.13768747	4.74e-04	0.3122	1.0909858	SIK1	ENSG00000142178
8942	0.14513237	5.10e-04	0.2795	0.9714162	KYNU	ENSG00000115919
34	0.15411731	5.83e-04	0.1346	-0.4628484	ACADM	ENSG00000117054
100289462	0.15411731	5.66e-04	0.5966	2.0566347	DEFB4B	ENSG00000177257
23303	0.15411731	5.53e-04	0.1042	0.3598634	KIF13B	ENSG00000197892
7431	0.15411731	5.74e-04	0.5156	1.7754169	VIM	ENSG00000026025
100505738	0.16545011	6.37e-04	0.4883	-1.6676234	MIR4458HG	ENSG00000247516
6590	0.17023774	6.67e-04	0.1953	-0.6647098	SLPI	ENSG00000124107
3725	0.17161625	7.24e-04	0.2001	0.6765112	JUN	ENSG00000177606
6016	0.17161625	7.70e-04	0.0838	-0.2819632	RIT1	ENSG00000143622
8528	0.17161625	6.91e-04	0.3919	-1.3297818	DDO	ENSG00000203797
392636	0.17161625	7.57e-04	0.614	2.0678267	AGMO	ENSG00000187546
222	0.17161625	7.96e-04	0.2002	0.6714257	ALDH3B2	ENSG00000132746
2313	0.17161625	7.80e-04	0.5843	1.9629829	FLI1	ENSG00000151702
105370504	0.17161625	8.00e-04	0.2858	-0.9581071	LOC105370504	
89932	0.17161625	7.54e-04	0.394	1.3275912	PAPLN	ENSG00000100767
100126311	0.17161625	7.73e-04	0.2992	1.005883	MIR147B	ENSG00000284386
3418	0.17161625	6.97e-04	0.2164	0.7336808	IDH2	ENSG00000182054
729648	0.17161625	7.69e-04	0.1809	-0.6086383	ZNF812P	
8863	0.17355954	8.20e-04	0.27	-0.9033555	PER3	ENSG00000049246
221416	0.17529064	8.40e-04	0.5159	1.7225507	LINC03040	ENSG00000181577
101928969	0.18014613	8.76e-04	0.7274	-2.4203792	RHOXF1-AS1	ENSG00000258545
254170	0.18031831	8.89e-04	0.1239	-0.411622	FBXO33	ENSG00000165355
23768	0.18107491	9.05e-04	0.4093	1.3583583	FLRT2	ENSG00000185070
7837	0.18631038	9.63e-04	0.257	0.848344	PXDN	ENSG00000130508
285761	0.18631038	9.52e-04	0.195	0.6442429	DCBLD1	ENSG00000164465
387103	0.18631038	9.69e-04	0.3952	1.304018	CENPW	ENSG00000203760
26154	0.19024987	1.00e-03	0.3054	1.0049102	ABCA12	ENSG00000144452
4638	0.19939608	1.12e-03	0.7586	2.4724571	MYLK	ENSG00000065534
4071	0.19939608	1.07e-03	0.155	0.5073695	TM4SF1	ENSG00000169908
5328	0.19939608	1.11e-03	0.4008	1.3071084	PLAU	ENSG00000122861
79022	0.19939608	1.10e-03	0.122	-0.3984491	TMEM106C	ENSG00000134291
80206	0.19939608	1.09e-03	0.213	0.6959182	FHOD3	ENSG00000134775
729678	0.19966824	1.13e-03	0.2626	-0.8547044	LINC00847	ENSG00000245060
3909	0.20006718	1.15e-03	0.3474	1.1296661	LAMA3	ENSG00000053747
8447	0.20083117	1.17e-03	0.3529	1.1457833	DOC2B	ENSG00000272636
414	0.20083117	1.18e-03	0.1419	0.4601322	ARSD	ENSG00000006756
2537	0.2023863	1.25e-03	0.2741	0.8843911	IFI6	ENSG00000126709
8609	0.2023863	1.23e-03	0.353	1.1411564	KLF7	ENSG00000118263
57493	0.2023863	1.26e-03	0.2771	0.8935103	HEG1	ENSG00000173706
654466	0.2023863	1.25e-03	0.3263	-1.0529865	FGF7P3	
8038	0.2023863	1.27e-03	0.6479	2.087719	ADAM12	ENSG00000148848
114791	0.2023863	1.22e-03	0.1832	-0.592372	TUBGCP5	ENSG00000275835
5176	0.20400358	1.29e-03	0.2096	0.6742272	SERPINF1	ENSG00000132386
7008	0.20549061	1.32e-03	0.1914	-0.6149328	TEF	ENSG00000167074
88455	0.20700493	1.34e-03	0.0842	-0.2700033	ANKRD13A	ENSG00000076513
388677	0.21248128	1.39e-03	0.1842	0.5886433	NOTCH2NLA	ENSG00000264343
401152	0.21660608	1.43e-03	0.0783	-0.2494531	C4orf3	ENSG00000164096
5920	0.21985147	1.47e-03	0.2367	-0.7527143	PLAAT4	ENSG00000133321
102724428	0.22563206	1.52e-03	0.3196	1.0132791	LOC102724428	ENSG00000275993
100505806	0.22652957	1.55e-03	0.2876	-0.9104288	SNHG18	ENSG00000250786
4313	0.22652957	1.56e-03	0.3791	1.1992398	MMP2	ENSG00000087245
23635	0.22783635	1.59e-03	0.1885	-0.5952579	SSBP2	ENSG00000145687
54492	0.22783635	1.62e-03	0.3867	1.2193432	NEURL1B	ENSG00000214357
2729	0.22783635	1.61e-03	0.1963	-0.619384	GCLC	ENSG00000001084
11067	0.22862499	1.64e-03	0.3021	0.9514662	DEPP1	ENSG00000165507
727956	0.22993403	1.66e-03	0.4036	1.2691363	SDHAP2	ENSG00000242086
3491	0.23087409	1.71e-03	0.3739	1.1723531	CCN1	ENSG00000142871
1303	0.23087409	1.71e-03	0.6439	2.0197436	COL12A1	ENSG00000111799
22873	0.23087409	1.69e-03	0.3577	1.1234172	DZIP1	ENSG00000134874
114794	0.23481204	1.76e-03	0.4287	1.3408622	ELFN2	ENSG00000166897
3762	0.23949527	1.81e-03	0.5141	1.6038634	KCNJ5	ENSG00000120457
3371	0.2448123	1.87e-03	0.3783	1.1766337	TNC	ENSG00000041982
56892	0.24674286	1.90e-03	0.5183	1.6095348	TCIM	ENSG00000176907
22932	0.2525693	1.96e-03	0.2511	-0.777229	POMZP3	ENSG00000146707
5787	0.2525693	1.98e-03	0.427	1.3209296	PTPRB	ENSG00000127329
3992	0.25703319	2.03e-03	0.2629	0.8112061	FADS1	ENSG00000149485
1462	0.26072463	2.08e-03	0.784	2.413868	VCAN	ENSG00000038427
6584	0.2614836	2.13e-03	0.1516	-0.4655308	SLC22A5	ENSG00000197375
64288	0.2614836	2.14e-03	0.2294	-0.7042663	ZSCAN31	ENSG00000235109
257000	0.2614836	2.11e-03	0.2089	-0.6422092	TINCR	ENSG00000223573
81849	0.26327234	2.19e-03	0.5988	1.8347067	ST6GALNAC5	ENSG00000117069
2196	0.26327234	2.20e-03	0.2979	0.9121618	FAT2	ENSG00000086570
105375981	0.26327234	2.20e-03	0.2248	-0.6880382	LOC105375981	
56144	0.26942403	2.27e-03	0.2928	0.8934457	PCDHA4	ENSG00000204967
100996717	0.27776502	2.38e-03	0.1956	0.5943322	NOTCH2NLC	ENSG00000286219
285315	0.27776502	2.38e-03	0.1901	-0.5776289	C3orf33	ENSG00000174928
9324	0.28209014	2.49e-03	0.1664	-0.5033557	HMGN3	ENSG00000118418
6641	0.28209014	2.50e-03	0.2589	-0.7829065	SNTB1	ENSG00000172164
388115	0.28209014	2.47e-03	0.3955	1.1971165	CCDC9B	ENSG00000188549
201294	0.28209014	2.47e-03	0.5461	1.6527797	UNC13D	ENSG00000092929
1290	0.2825536	2.52e-03	0.4389	1.3258605	COL5A2	ENSG00000204262
163050	0.28393546	2.55e-03	0.1786	-0.5387912	ZNF564	ENSG00000249709
6678	0.28469303	2.58e-03	0.687	2.0707154	SPARC	ENSG00000113140
1131	0.28607589	2.69e-03	0.3764	-1.1297161	CHRM3	ENSG00000133019
151525	0.28607589	2.65e-03	0.1942	-0.5838069	WDSUB1	ENSG00000196151
8994	0.28607589	2.92e-03	0.1783	0.5307785	LIMD1	ENSG00000144791
5352	0.28607589	2.87e-03	0.1582	0.4715609	PLOD2	ENSG00000152952
4241	0.28607589	2.92e-03	0.4347	1.293653	MELTF	ENSG00000163975
3490	0.28607589	2.78e-03	0.2117	0.6331347	IGFBP7	ENSG00000163453
6783	0.28607589	2.92e-03	0.2574	-0.7660409	SULT1E1	ENSG00000109193
169834	0.28607589	2.88e-03	0.2604	-0.7758746	ZNF883	ENSG00000291094
84632	0.28607589	2.75e-03	0.337	1.0090598	AFAP1L2	ENSG00000169129
10313	0.28607589	2.85e-03	0.1171	-0.3494554	RTN3	ENSG00000133318
94240	0.28607589	2.75e-03	0.2947	0.8823576	EPSTI1	ENSG00000133106
78990	0.28607589	2.92e-03	0.2621	0.7800677	OTUB2	ENSG00000089723
283651	0.28607589	2.78e-03	0.478	1.4296434	HMGN2P46	
23741	0.28607589	2.83e-03	0.128	-0.3821163	EID1	ENSG00000255302
6367	0.28607589	2.78e-03	0.4305	1.2877125	CCL22	ENSG00000102962
105372582	0.28607589	2.94e-03	0.3536	-1.051715	LOC105372582	
140688	0.28607589	2.64e-03	0.1408	0.4235374	NOL4L	ENSG00000197183
2316	0.28607589	2.63e-03	0.3701	1.1133467	FLNA	ENSG00000196924
55170	0.28657765	3.12e-03	0.1283	-0.379143	PRMT6	ENSG00000198890
100996763	0.28657765	3.08e-03	0.2164	0.64036	NOTCH2NLB	ENSG00000286019
5947	0.28657765	3.02e-03	0.4904	1.4544414	RBP1	ENSG00000114115
23037	0.28657765	3.10e-03	0.2225	0.6581237	PDZD2	ENSG00000133401
4017	0.28657765	3.07e-03	0.6794	2.0113513	LOXL2	ENSG00000134013
8085	0.28657765	3.06e-03	0.2269	0.6721221	KMT2D	ENSG00000167548
1476	0.28657765	3.04e-03	0.1587	0.4702432	CSTB	ENSG00000160213
113730	0.28657765	3.06e-03	0.8255	2.4449087	KLHDC7B	ENSG00000130487
8227	0.28657765	3.10e-03	0.1671	0.4942297	AKAP17A	ENSG00000197976
114801	0.28734711	3.24e-03	0.6336	1.8653466	TMEM200A	ENSG00000164484
445815	0.28734711	3.20e-03	0.403	1.1880428	PALM2AKAP2	ENSG00000157654
254427	0.28734711	3.21e-03	0.1398	0.411839	PROSER2	ENSG00000148426
4322	0.28734711	3.14e-03	0.4223	1.2471549	MMP13	ENSG00000137745
102465249	0.28734711	3.24e-03	0.3548	1.0446167	MIR6502	ENSG00000284011
1277	0.28734711	3.21e-03	0.6789	2.0005713	COL1A1	ENSG00000108821
414236	0.28991854	3.29e-03	0.4109	1.2076995	C10orf55	ENSG00000222047
51302	0.29007795	3.31e-03	0.2278	-0.6690639	CYP39A1	ENSG00000146233
25840	0.29204844	3.35e-03	0.1537	-0.4508751	METTL7A	ENSG00000185432
3868	0.29218076	3.43e-03	0.2314	0.6771141	KRT16	ENSG00000186832
284802	0.29218076	3.39e-03	0.2848	-0.8346518	FRG1BP	
5152	0.29218076	3.43e-03	0.3064	-0.896713	PDE9A	ENSG00000160191
1288	0.29218076	3.43e-03	0.1951	0.5708777	COL4A6	ENSG00000197565
169611	0.29331927	3.49e-03	0.1854	0.5416088	OLFML2A	ENSG00000185585
1308	0.29331927	3.47e-03	0.2157	0.6302584	COL17A1	ENSG00000065618
4052	0.29690071	3.56e-03	0.426	1.2415842	LTBP1	ENSG00000049323
2335	0.29690071	3.58e-03	0.8375	2.439931	FN1	ENSG00000115414
23180	0.29690071	3.59e-03	0.4316	1.2570163	RFTN1	ENSG00000131378
5867	0.29756083	3.63e-03	0.1204	-0.3502518	RAB4A	ENSG00000168118
9732	0.29756083	3.70e-03	0.2239	0.6500509	DOCK4	ENSG00000128512
9699	0.29756083	3.68e-03	0.3062	-0.8894727	RIMS2	ENSG00000176406
27020	0.29756083	3.66e-03	0.0668	-0.1940702	NPTN	ENSG00000156642
100132247	0.29756083	3.68e-03	0.4514	1.3109753	NPIPB5	ENSG00000243716
27106	0.29805237	3.72e-03	0.3242	0.9403142	ARRDC2	ENSG00000105643
57823	0.30081721	3.89e-03	0.4129	-1.1919799	SLAMF7	ENSG00000026751
406988	0.30081721	3.98e-03	0.4611	1.3279214	MIR205	ENSG00000284485
3134	0.30081721	3.95e-03	0.2433	0.7013476	HLA-F	ENSG00000204642
629	0.30081721	3.89e-03	0.2277	0.6573426	CFB	ENSG00000243649
6098	0.30081721	3.88e-03	0.7304	2.1095844	ROS1	ENSG00000047936
105376294	0.30081721	3.98e-03	0.1864	-0.5368439	LOC105376294	
10162	0.30081721	3.95e-03	0.1209	-0.3485543	LPCAT3	ENSG00000111684
11113	0.30081721	3.81e-03	0.3108	0.8992134	CIT	ENSG00000122966
5587	0.30081721	3.94e-03	0.4713	-1.3589125	PRKD1	ENSG00000184304
9235	0.30081721	3.96e-03	0.4638	1.3365673	IL32	ENSG00000008517
3872	0.30081721	4.02e-03	0.455	1.3090189	KRT17	ENSG00000128422
6238	0.30081721	4.02e-03	0.1433	0.4121726	RRBP1	ENSG00000125844
3561	0.30081721	3.84e-03	0.5055	1.4614564	IL2RG	ENSG00000147168
105376244	0.30384745	4.08e-03	0.3403	-0.9771961	LOC105376244	ENSG00000284977
2014	0.30385059	4.10e-03	0.4177	1.1987912	EMP3	ENSG00000142227
57161	0.31299804	4.25e-03	0.2831	-0.8093561	PELI2	ENSG00000139946
25801	0.31495867	4.30e-03	0.1432	-0.4089112	GCA	ENSG00000115271
100507421	0.32670826	4.54e-03	0.3054	0.8664818	TMEM178B	ENSG00000261115
51148	0.32670826	4.52e-03	0.3854	1.0944134	CERCAM	ENSG00000167123
6319	0.32670826	4.52e-03	0.2525	0.7168286	SCD	ENSG00000099194
3678	0.32670826	4.54e-03	0.2433	0.6903281	ITGA5	ENSG00000161638
368	0.32689002	4.57e-03	0.4838	1.3720884	ABCC6	ENSG00000091262
25818	0.33101579	4.65e-03	0.5158	1.4599293	KLK5	ENSG00000167754
642587	0.33436383	4.72e-03	0.2742	0.7747534	MIR205HG	ENSG00000230937
25832	0.34007227	4.96e-03	0.3281	0.921726	NBPF14	ENSG00000270629
7498	0.34007227	4.97e-03	0.4339	1.2187333	XDH	ENSG00000158125
64167	0.34007227	4.94e-03	0.7623	2.142776	ERAP2	ENSG00000164308
649	0.34007227	4.98e-03	0.3232	0.9076002	BMP1	ENSG00000168487
55636	0.34007227	4.86e-03	0.2043	0.5754511	CHD7	ENSG00000171316
10781	0.34007227	4.87e-03	0.1174	-0.3306124	ZNF266	ENSG00000174652
57446	0.34007227	4.93e-03	0.1045	-0.2937431	NDRG3	ENSG00000101079
25966	0.34007227	4.91e-03	0.1408	-0.3960907	C2CD2	ENSG00000157617
55287	0.34189906	5.06e-03	0.1068	-0.2993065	TMEM40	ENSG00000088726
80078	0.34189906	5.08e-03	0.462	1.2944181	LCAL1	ENSG00000286042
53344	0.34189906	5.05e-03	0.1904	-0.5340206	CHIC1	ENSG00000204116
66008	0.34197605	5.14e-03	0.1059	-0.2962533	TRAK2	ENSG00000115993
1295	0.34197605	5.13e-03	0.3075	-0.8605314	COL8A1	ENSG00000144810
9645	0.34197605	5.15e-03	0.3125	0.8742675	MICAL2	ENSG00000133816
388969	0.35055172	5.32e-03	0.1147	-0.3196731	C2orf68	ENSG00000168887
11245	0.35055172	5.33e-03	0.487	1.3571486	GPR176	ENSG00000166073
2153	0.3549304	5.42e-03	0.5752	1.5997843	F5	ENSG00000198734
56937	0.35550377	5.45e-03	0.3834	1.065438	PMEPA1	ENSG00000124225
85315	0.3565282	5.49e-03	0.2274	0.6315088	PAQR8	ENSG00000170915
5584	0.35973255	5.56e-03	0.1227	-0.3401542	PRKCI	ENSG00000163558
23161	0.36354767	5.66e-03	0.142	-0.3927874	SNX13	ENSG00000071189
23554	0.36354767	5.70e-03	0.2102	-0.5811198	TSPAN12	ENSG00000106025
9423	0.36354767	5.67e-03	0.274	0.7578123	NTN1	ENSG00000065320
8614	0.36430698	5.76e-03	0.5234	1.4452724	STC2	ENSG00000113739
57154	0.36430698	5.76e-03	0.1095	0.3022408	SMURF1	ENSG00000198742
10381	0.36536491	5.80e-03	0.5211	1.43785	TUBB3	ENSG00000258947
79901	0.36920819	5.93e-03	0.2787	-0.7668386	CYBRD1	ENSG00000071967
79591	0.36920819	5.89e-03	0.0855	-0.2354015	ARMH3	ENSG00000120029
55808	0.36920819	5.92e-03	0.1467	0.403769	ST6GALNAC1	ENSG00000070526
1677	0.37020337	6.17e-03	0.242	0.6627065	DFFB	ENSG00000169598
285386	0.37020337	6.04e-03	0.3817	-1.0480494	TPRG1	ENSG00000188001
255812	0.37020337	6.16e-03	0.4318	1.1826628	SDHAP1	ENSG00000290763
132299	0.37020337	6.09e-03	0.1903	0.5220692	OCIAD2	ENSG00000145247
9499	0.37020337	5.98e-03	0.5256	-1.4448166	MYOT	ENSG00000120729
119504	0.37020337	6.03e-03	0.1103	-0.302792	ANAPC16	ENSG00000166295
81614	0.37020337	6.17e-03	0.145	-0.3971082	NIPA2	ENSG00000140157
124512	0.37020337	6.12e-03	0.1259	-0.3450605	METTL23	ENSG00000181038
7764	0.37020337	6.06e-03	0.1024	0.2808838	ZNF217	ENSG00000171940
115209	0.37371584	6.40e-03	0.2096	-0.5716129	OMA1	ENSG00000162600
126969	0.37371584	6.61e-03	0.2158	-0.5860121	SLC44A3	ENSG00000143036
150946	0.37371584	6.38e-03	0.7271	-1.9832969	GAREM2	ENSG00000157833
4057	0.37371584	6.29e-03	0.6514	-1.7796954	LTF	ENSG00000012223
151742	0.37371584	6.49e-03	0.177	-0.4817062	PPM1L	ENSG00000163590
105377659	0.37371584	6.53e-03	0.4865	1.3231333	LINC02928	
8649	0.37371584	6.65e-03	0.1253	-0.3400151	LAMTOR3	ENSG00000109270
22885	0.37371584	6.68e-03	0.4423	-1.1994749	ABLIM3	ENSG00000173210
3912	0.37371584	6.62e-03	0.2964	0.8047973	LAMB1	ENSG00000091136
105376243	0.37371584	6.55e-03	0.3453	-0.9388456	LOC105376243	
55847	0.37371584	6.49e-03	0.1356	-0.3690337	CISD1	ENSG00000122873
9886	0.37371584	6.70e-03	0.33	0.8946887	RHOBTB1	ENSG00000072422
9638	0.37371584	6.74e-03	0.4184	1.1337583	FEZ1	ENSG00000149557
4053	0.37371584	6.63e-03	0.5779	1.5690513	LTBP2	ENSG00000119681
1152	0.37371584	6.33e-03	0.2836	0.7744131	CKB	ENSG00000166165
9088	0.37371584	6.70e-03	0.349	0.9461496	PKMYT1	ENSG00000127564
5266	0.37371584	6.27e-03	0.4808	1.3139515	PI3	ENSG00000124102
109729184	0.37371584	6.74e-03	0.3658	0.9912628	SLC12A5-AS1	ENSG00000204044
389906	0.37371584	6.52e-03	0.3316	0.9020251	LOC389906	ENSG00000285756
4571	0.37371584	6.57e-03	0.2201	-0.5981615	TRNP	
127018	0.37471646	6.81e-03	0.1245	-0.336804	LYPLAL1	ENSG00000143353
1490	0.37471646	6.80e-03	0.5874	1.5897829	CCN2	ENSG00000118523
51752	0.37890143	6.92e-03	0.1734	0.468418	ERAP1	ENSG00000164307
8870	0.37890143	6.93e-03	0.2047	0.5526516	IER3	ENSG00000137331
3918	0.37914012	6.99e-03	0.3701	0.9981953	LAMC2	ENSG00000058085
10987	0.37914012	7.01e-03	0.0961	-0.2590474	COPS5	ENSG00000121022
100507347	0.37914012	6.96e-03	0.5443	1.4688614	VIM-AS1	ENSG00000229124
102723403	0.37944971	7.05e-03	0.5301	-1.4281815	LOC102723403	
140710	0.37944971	7.07e-03	0.2091	0.5630836	SOGA1	ENSG00000149639
8322	0.3820827	7.17e-03	0.1925	0.5174492	FZD4	ENSG00000174804
55017	0.3820827	7.15e-03	0.0841	-0.2263492	C14orf119	ENSG00000179933
7476	0.38469756	7.29e-03	0.3754	1.0072632	WNT7A	ENSG00000154764
11145	0.38469756	7.28e-03	0.3277	-0.8793916	PLAAT3	ENSG00000176485
253827	0.38469756	7.35e-03	0.4833	1.2954158	MSRB3	ENSG00000174099
57523	0.38469756	7.32e-03	0.1706	0.4574198	NYNRIN	ENSG00000205978
9452	0.38469756	7.34e-03	0.7247	1.9429635	ITM2A	ENSG00000078596
55700	0.38488048	7.46e-03	0.2348	0.6281247	MAP7D1	ENSG00000116871
1474	0.38488048	7.41e-03	0.4389	1.1752418	CST6	ENSG00000175315
51458	0.38488048	7.43e-03	0.3867	1.0351583	RHCG	ENSG00000140519
105372578	0.38488048	7.44e-03	0.2142	-0.5732477	LINC02967	
10000	0.38645188	7.52e-03	0.2868	0.7667592	AKT3	ENSG00000117020
3064	0.38712812	7.58e-03	0.1103	0.2945358	HTT	ENSG00000197386
11328	0.38712812	7.57e-03	0.2288	0.6110696	FKBP9	ENSG00000122642
6917	0.39643654	7.84e-03	0.1402	-0.372773	TCEA1	ENSG00000187735
2300	0.39643654	7.80e-03	0.6229	1.6573013	FOXL1	ENSG00000176678
5251	0.39643654	7.83e-03	0.239	-0.6357221	PHEX	ENSG00000102174
3704	0.39826825	7.91e-03	0.1714	0.4553554	ITPA	ENSG00000125877
7430	0.39941005	7.96e-03	0.1276	0.3387373	EZR	ENSG00000092820
64129	0.40141482	8.11e-03	0.377	0.9980449	TINAGL1	ENSG00000142910
112577518	0.40141482	8.12e-03	0.624	1.6518462	MUC5B-AS1	ENSG00000255177
23141	0.40141482	8.13e-03	0.1767	0.4677923	ANKLE2	ENSG00000176915
23162	0.40141482	8.05e-03	0.5403	1.4316857	MAPK8IP3	ENSG00000138834
139221	0.40141482	8.13e-03	0.4488	-1.1877004	PWWP3B	ENSG00000157502
1820	0.40475866	8.23e-03	0.301	0.795395	ARID3A	ENSG00000116017
4035	0.40609002	8.28e-03	0.314	0.8290097	LRP1	ENSG00000123384
596	0.40609002	8.31e-03	0.3643	-0.9615057	BCL2	ENSG00000171791
55114	0.40837879	8.38e-03	0.1914	0.5046312	ARHGAP17	ENSG00000140750
54499	0.41034417	8.53e-03	0.119	-0.3129873	TMCO1	ENSG00000143183
100302652	0.41034417	8.87e-03	0.1311	-0.3431975	GPR75-ASB3	ENSG00000115239
3625	0.41034417	8.78e-03	0.3927	1.0291025	INHBB	ENSG00000163083
339761	0.41034417	8.64e-03	0.3632	0.9536358	CYP27C1	ENSG00000186684
112268430	0.41034417	8.79e-03	0.8584	2.2489843	LOC112268430	
1906	0.41034417	8.64e-03	0.4941	1.2975879	EDN1	ENSG00000078401
6422	0.41034417	8.85e-03	0.3975	-1.0406892	SFRP1	ENSG00000104332
768	0.41034417	8.79e-03	0.594	1.5563372	CA9	ENSG00000107159
221035	0.41034417	8.66e-03	0.1089	-0.2857664	REEP3	ENSG00000165476
79827	0.41034417	8.71e-03	0.4864	1.2759458	CLMP	ENSG00000166250
51082	0.41034417	8.78e-03	0.1203	-0.3152913	POLR1D	ENSG00000186184
84945	0.41034417	8.78e-03	0.121	-0.3170117	ABHD13	ENSG00000139826
1282	0.41034417	8.64e-03	0.5419	1.4230329	COL4A1	ENSG00000187498
81542	0.41034417	8.85e-03	0.1351	-0.3535475	TMX1	ENSG00000139921
83987	0.41034417	8.68e-03	0.5867	1.539859	CCDC8	ENSG00000169515
9582	0.41034417	8.81e-03	0.299	0.7831769	APOBEC3B	ENSG00000179750
284613	0.41047921	8.98e-03	0.1266	-0.3307557	CYB561D1	ENSG00000174151
1843	0.41047921	8.94e-03	0.2951	0.7713772	DUSP1	ENSG00000120129
83937	0.41047921	8.96e-03	0.2692	0.7036843	RASSF4	ENSG00000107551
10241	0.41047921	8.93e-03	0.1001	-0.2618414	CALCOCO2	ENSG00000136436
2730	0.41341543	9.16e-03	0.1329	-0.3462763	GCLM	ENSG00000023909
2195	0.41341543	9.16e-03	0.2728	0.7109367	FAT1	ENSG00000083857
221294	0.41341543	9.18e-03	0.1398	-0.3642647	NT5DC1	ENSG00000178425
8111	0.41341543	9.18e-03	0.6257	1.6300677	GPR68	ENSG00000119714
3911	0.41341543	9.18e-03	0.4233	1.1027966	LAMA5	ENSG00000130702
85462	0.41478066	9.24e-03	0.3212	0.8360185	FHDC1	ENSG00000137460
55629	0.41528872	9.61e-03	0.1175	-0.3043442	PNRC2	ENSG00000189266
643314	0.41528872	9.65e-03	0.3955	1.0237127	KIAA0754	
